Acc,DP
0.7216371945161931,0.4903038133053093
0.7246175243393602,0.4832069038214568
0.7252135903039937,0.46164159417397954
0.7359427776673952,0.41834570918851033
0.73097556129545,0.40414799997946543
0.7430955692429962,0.37918672232454725
0.766938207828333,0.3508365258019573
0.7728988674746672,0.32121508091762585
0.7804490363600238,0.33077517511967075
0.7979336379892709,0.31079963622170326
0.8305185773892311,0.27205358822280296
0.8436320286111663,0.2177703339585147
0.8374726803099543,0.2318669081641484
0.8434333399562884,0.19240353997278725
0.8404530101331213,0.18137416021003336
0.8362805483806874,0.18073399738018164
0.8476058017087225,0.1474231987637184
0.8386648122392212,0.11853685244857981
0.8412477647526326,0.11546580118063002
0.8317107093184979,0.0819842290980538
0.8219749652294854,0.048629762092741474
0.8114444665209617,0.020282635041759867
0.8144247963441288,0.021322742887946555
0.7939598648917147,0.062106549690735785
0.7838267434929466,0.11962702973891279
0.7327637591893503,0.17697038598256104
0.7462745877210412,0.1777092955393886
0.7160739121796146,0.26768422808021997
0.6830915954698986,0.27632167987005996
0.679713888336976,0.2861480595397675
