input_dim,Accuracy,Unfairness,lambda_reg,seed
102,0.8452215378501887,0.058863433269244,0.0,2
102,0.8458176038148222,0.0024636553985168,0.5,2
102,0.8446254718855554,0.0172471423564213,1.0,2
102,0.8444267832306775,0.0264665489115315,1.5,2
102,0.834691039141665,0.10985198800056,2.0,2
102,0.8233657858136301,0.1720876802911592,2.5,2
102,0.7814424796344128,0.3059456159076756,3.0,2
102,0.7985297039539042,0.2746037986710386,3.5,2
102,0.8124379097953507,0.5152107673036058,4.0,2
102,0.6767335585138089,0.6124386679544278,4.5,2
102,0.7967415060600039,0.2973615102960428,5.0,2
