lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,1.0,1000,50000,102,0.843984398439844,0.017610793003802305,,,
0.0,2.0,1000,50000,102,0.843984398439844,0.018688430654294708,,,
0.0,3.0,1000,50000,102,0.8454845484548454,0.01809620364359177,,,
0.25,1.0,1000,50000,102,0.8457845784578458,0.010607716683921464,,,
0.25,2.0,1000,50000,102,0.8475847584758476,0.011292360996848383,,,
0.25,3.0,1000,50000,102,0.8433843384338434,0.017936427754564166,,,
0.5,1.0,1000,50000,102,0.8457845784578458,0.015754053891089748,,,
0.5,2.0,1000,50000,102,0.8463846384638464,0.012881467102200395,,,
0.5,3.0,1000,50000,102,0.8460846084608461,0.02272285518831707,,,
0.75,1.0,1000,50000,102,0.8478847884788479,0.01367488405574624,,,
0.75,2.0,1000,50000,102,0.8466846684668466,0.013908006008114704,,,
0.75,3.0,1000,50000,102,0.8478847884788479,0.01952977005721368,,,
1.0,1.0,1000,50000,102,0.8424842484248425,0.009459380318143307,,,
1.0,2.0,1000,50000,102,0.8451845184518452,0.011534589752273283,,,
1.0,3.0,1000,50000,102,0.8436843684368437,0.01724325496221446,,,
1.25,1.0,1000,50000,102,0.8442844284428442,0.0045609176472948265,,,
1.25,2.0,1000,50000,102,0.8466846684668466,0.002486452134415007,,,
1.25,3.0,1000,50000,102,0.8472847284728473,0.009399504970385109,,,
1.5,1.0,1000,50000,102,0.8436843684368437,0.002341335119766863,,,
1.5,2.0,1000,50000,102,0.8466846684668466,0.0046864533455730495,,,
1.5,3.0,1000,50000,102,0.8424842484248425,0.009806336049947295,,,
1.75,1.0,1000,50000,102,0.8454845484548454,0.0006499567315042531,,,
1.75,2.0,1000,50000,102,0.8454845484548454,0.002816635433544934,,,
1.75,3.0,1000,50000,102,0.843084308430843,0.007138116538624062,,,
2.0,1.0,1000,50000,102,0.8487848784878488,0.000260961171600238,,,
2.0,2.0,1000,50000,102,0.8460846084608461,0.0004072106101280504,,,
2.0,3.0,1000,50000,102,0.840984098409841,0.003968424772248125,,,
2.25,1.0,1000,50000,102,0.8472847284728473,0.0004696285038208181,,,
2.25,2.0,1000,50000,102,0.8448844884488449,0.0012969317004498104,,,
2.25,3.0,1000,50000,102,0.8421842184218422,0.00498224621529092,,,
2.5,1.0,1000,50000,102,0.8472847284728473,0.0024018857253950143,,,
2.5,2.0,1000,50000,102,0.8406840684068407,0.0009878601848427038,,,
2.5,3.0,1000,50000,102,0.8415841584158416,0.0041769044601527305,,,
2.75,2.0,1000,50000,102,0.8394839483948395,0.0022312655867752773,,,
2.75,3.0,1000,50000,102,0.8382838283828383,0.0029020338771290066,,,
3.0,1.0,1000,50000,102,0.8274827482748275,0.003020779981046051,,,
3.0,2.0,1000,50000,102,0.8154815481548154,0.0032841412787426028,,,
3.0,3.0,1000,50000,102,0.8370837083708371,4.3857936922409024e-05,,,
3.25,1.0,1000,50000,102,0.8028802880288028,0.0028844137806205983,,,
3.25,2.0,1000,50000,102,0.7998799879987999,0.002301694670969412,,,
3.25,3.0,1000,50000,102,0.8073807380738074,0.002189651866171538,,,
3.5,1.0,1000,50000,102,0.7656765676567657,0.004614619649536855,,,
3.5,2.0,1000,50000,102,0.7506750675067507,0.004549579971527162,,,
3.5,3.0,1000,50000,102,0.7500750075007501,0.0032237614257893954,,,
3.75,1.0,1000,50000,102,0.7482748274827483,0.003057392142739812,,,
3.75,2.0,1000,50000,102,0.7446744674467447,0.00421200884180134,,,
3.75,3.0,1000,50000,102,0.744974497449745,0.0012989805748501726,,,
4.0,1.0,1000,50000,102,0.744974497449745,0.005592275846401318,,,
4.0,2.0,1000,50000,102,0.7446744674467447,0.005386996169226332,,,
4.0,3.0,1000,50000,102,0.7446744674467447,0.0022073109743080965,,,
4.25,1.0,1000,50000,102,0.7446744674467447,0.002681522203060338,,,
4.25,2.0,1000,50000,102,0.7446744674467447,0.005283280300677817,,,
4.25,3.0,1000,50000,102,0.7446744674467447,0.0014133577646765483,,,
4.5,1.0,1000,50000,102,0.7446744674467447,0.003977838788461863,,,
4.5,2.0,1000,50000,102,0.7446744674467447,0.004937471852064057,,,
4.5,3.0,1000,50000,102,0.7446744674467447,0.0010790966384083278,,,
4.75,1.0,1000,50000,102,0.7446744674467447,0.001493085053307197,,,
4.75,2.0,1000,50000,102,0.7446744674467447,0.00477959314560128,,,
4.75,3.0,1000,50000,102,0.7446744674467447,0.000869633784595869,,,
5.0,1.0,1000,50000,102,0.7446744674467447,0.003271238769761764,,,
5.0,2.0,1000,50000,102,0.7446744674467447,0.0044869232643133805,,,
5.0,3.0,1000,50000,102,0.7446744674467447,0.0008859266407797994,,,
