lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,1.0,1000,190000,12288,0.9234617308654327,0.04817263902845281,,,
0.0,2.0,1000,190000,12288,0.9229614807403702,0.041707572652774694,,,
0.0,3.0,1000,190000,12288,0.9189594797398699,0.04778509576606371,,,
0.5,1.0,1000,190000,12288,0.9184592296148074,0.021294145301631984,,,
0.5,2.0,1000,190000,12288,0.9204602301150575,0.019854139717680797,,,
0.5,3.0,1000,190000,12288,0.9204602301150575,0.019190793775971438,,,
1.0,1.0,1000,190000,12288,0.9229614807403702,0.004658641399311159,,,
1.0,2.0,1000,190000,12288,0.9189594797398699,0.0010514421558545095,,,
1.0,3.0,1000,190000,12288,0.9184592296148074,0.007033183280608091,,,
1.5,1.0,1000,190000,12288,0.9219609804902451,0.0019466551498554807,,,
1.5,2.0,1000,190000,12288,0.919959979989995,0.007391960534035791,,,
1.5,3.0,1000,190000,12288,0.9169584792396198,0.006515272095980018,,,
2.0,1.0,1000,190000,12288,0.9189594797398699,0.0004977706768588552,,,
2.0,2.0,1000,190000,12288,0.9204602301150575,0.005918176601557468,,,
2.0,3.0,1000,190000,12288,0.9174587293646823,0.005247729363125342,,,
2.5,1.0,1000,190000,12288,0.9179589794897449,0.00016879633360145085,,,
2.5,2.0,1000,190000,12288,0.9184592296148074,0.006853620782801939,,,
2.5,3.0,1000,190000,12288,0.9129564782391195,0.00620174953236996,,,
3.0,1.0,1000,190000,12288,0.9174587293646823,0.0040492566631076254,,,
3.0,2.0,1000,190000,12288,0.9169584792396198,0.004677247785678351,,,
3.0,3.0,1000,190000,12288,0.9189594797398699,0.00015426276544350248,,,
3.5,1.0,1000,190000,12288,0.919959979989995,0.001989942598227934,,,
3.5,2.0,1000,190000,12288,0.9144572286143071,0.004748736041751855,,,
3.5,3.0,1000,190000,12288,0.9174587293646823,0.009450623899219135,,,
4.0,1.0,1000,190000,12288,0.9169584792396198,0.002788824441908422,,,
4.0,2.0,1000,190000,12288,0.9079539769884942,0.007278944169063273,,,
4.0,3.0,1000,190000,12288,0.9149574787393697,0.012492289715999916,,,
4.5,1.0,1000,190000,12288,0.9154577288644322,0.0028351619137921835,,,
4.5,2.0,1000,190000,12288,0.9034517258629314,0.007002416097420694,,,
4.5,3.0,1000,190000,12288,0.9019509754877438,0.0033260338742939766,,,
5.0,1.0,1000,190000,12288,0.9169584792396198,0.003685913173096411,,,
5.0,2.0,1000,190000,12288,0.8979489744872436,0.007839302494723865,,,
5.0,3.0,1000,190000,12288,0.9069534767383692,0.011495687291850798,,,
