lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,2.0,3,190000,512,0.7086708670867087,0.19846415266376582,,,
0.0,3.0,3,190000,512,0.7572757275727573,0.08333126002076163,,,
0.0,4.0,3,190000,512,0.6993699369936993,0.1895786456483386,,,
0.2,2.0,3,190000,512,0.7608760876087609,0.028403359180322663,,,
0.2,3.0,3,190000,512,0.7065706570657065,0.13880691344673368,,,
0.2,4.0,3,190000,512,0.6954695469546954,0.19843524352243536,,,
0.4,2.0,3,190000,512,0.7068706870687068,0.11894452459724925,,,
0.4,3.0,3,190000,512,0.7050705070507051,0.17830839665593212,,,
0.4,4.0,3,190000,512,0.7138763876387639,0.024080780486889553,,,
0.6,2.0,3,190000,512,0.7171767176717672,0.0739045586980206,,,
0.6,3.0,3,190000,512,0.7114761476147615,0.07428276016264335,,,
0.6,4.0,3,190000,512,0.7029702970297029,0.1049819732756605,,,
0.8,2.0,3,190000,512,0.7303780378037803,0.03680022142993211,,,
0.8,3.0,3,190000,512,0.7179717971797179,0.09066693966177586,,,
0.8,4.0,3,190000,512,0.7083708370837084,0.08918913222109603,,,
1.0,2.0,3,190000,512,0.7318781878187819,0.05901216092148431,,,
1.0,3.0,3,190000,512,0.7225772577257726,0.04876006366464858,,,
1.0,4.0,3,190000,512,0.7382778277827783,0.034763044978783575,,,
1.2,2.0,3,190000,512,0.7373777377737774,0.026905561392418398,,,
1.2,3.0,3,190000,512,0.7303780378037803,0.04833803695618166,,,
1.4,2.0,3,190000,512,0.7348784878487849,0.038690842790499946,,,
1.4,3.0,3,190000,512,0.7337773777377738,0.03331134732728902,,,
1.4,4.0,3,190000,512,0.7312781278127813,0.03107674019545703,,,
1.6,2.0,3,190000,512,0.7360786078607861,0.01175973426710919,,,
1.6,3.0,3,190000,512,0.720972097209721,0.03170711506652435,,,
1.6,4.0,3,190000,512,0.7434773477347735,0.027401860867289463,,,
1.8,2.0,3,190000,512,0.6861686168616862,0.015219691553366443,,,
1.8,3.0,3,190000,512,0.7647764776477648,0.011685639754234312,,,
1.8,4.0,3,190000,512,0.6675667566756676,0.01674014145660946,,,
2.0,2.0,3,190000,512,0.633063306330633,0.0157039619040773,,,
2.0,3.0,3,190000,512,0.6543654365436543,0.008097119858531732,,,
2.0,4.0,3,190000,512,0.6162616261626163,0.006232153973093124,,,
