input_dim,Accuracy,Unfairness,lambda_reg,seed
102,0.8452215378501887,0.0781906860961469,0.0,2
102,0.8458176038148222,0.0334809975374463,0.5,2
102,0.8446254718855554,0.0357764604154492,1.0,2
102,0.8444267832306775,0.0364093477218829,1.5,2
102,0.834691039141665,0.0612167495814475,2.0,2
102,0.8233657858136301,0.1209892442851679,2.5,2
102,0.7814424796344128,0.2527711111722818,3.0,2
102,0.7985297039539042,0.1693576492075948,3.5,2
102,0.8124379097953507,0.3685783224222888,4.0,2
102,0.6767335585138089,0.4467517942191689,4.5,2
102,0.7967415060600039,0.2230773227577475,5.0,2
