input_dim,Accuracy,Unfairness,lambda_reg,seed
102,0.8430359626465329,0.1746460004501645,0.0,2
102,0.8410490760977548,0.1193996212351672,0.5,2
102,0.8380687462745877,0.0895277582331893,1.0,2
102,0.8400556328233658,0.1137859066914774,1.5,2
102,0.7639578780051659,0.3713123850344396,2.0,2
102,0.7621696801112656,0.3780277479789382,2.5,2
102,0.7734949334393006,0.3684986202816471,3.0,2
102,0.7419034373137294,0.4236956006853515,3.5,2
102,0.4470494734750646,0.4551742860833702,4.0,2
102,0.436320286111663,0.4547870247170469,4.5,2
102,0.4406914365189747,0.4381123197506431,5.0,2
