lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
0.0,2.0,10,190000,512,0.7336699274218996,0.013475297246226814,,,
0.0,5.0,10,190000,512,0.736509940044178,0.03493854090786541,,,
0.5,2.0,10,190000,512,0.7418744083307037,0.0076624446755112485,,,
0.5,3.0,10,190000,512,0.744714420952982,0.018893450772290377,,,
0.5,4.0,10,190000,512,0.7513411170716314,0.0173489838331064,,,
0.5,5.0,10,190000,512,0.7421899652887346,0.016433427448813598,,,
1.0,2.0,10,190000,512,0.7409277374566109,0.017718013953936018,,,
1.0,3.0,10,190000,512,0.7453455348690439,0.017541875924966976,,,
1.0,4.0,10,190000,512,0.7399810665825182,0.017266390538767273,,,
1.5,2.0,10,190000,512,0.7305143578415904,0.010081912455430053,,,
1.5,3.0,10,190000,512,0.7399810665825182,0.0024010394580424865,,,
1.5,4.0,10,190000,512,0.7396655096244872,0.022183502698006174,,,
1.5,5.0,10,190000,512,0.7437677500788893,0.021807246058109908,,,
2.0,2.0,10,190000,512,0.7384032817923635,0.005081247988031279,,,
2.0,3.0,10,190000,512,0.7308299147996213,0.020202794642061428,,,
2.0,4.0,10,190000,512,0.7371410539602399,0.0014419199596539811,,,
2.0,5.0,10,190000,512,0.7478699905332913,0.004872997324193107,,,
2.5,3.0,10,190000,512,0.7201009782265699,0.009545737665199394,,,
2.5,4.0,10,190000,512,0.7317765856737141,0.005273535121726014,,,
3.0,2.0,10,190000,512,0.7352477122120543,0.006767285523771482,,,
3.0,4.0,10,190000,512,0.7384032817923635,0.007070009421577428,,,
3.5,2.0,10,190000,512,0.7466077627011676,0.005691665022222403,,,
3.5,3.0,10,190000,512,0.7324076995897759,0.003308088924547148,,,
3.5,4.0,10,190000,512,0.7466077627011676,0.005076107306361377,,,
4.0,2.0,10,190000,512,0.7462922057431366,0.0006579100691650464,,,
4.0,3.0,10,190000,512,0.4597664878510571,1.6202422625788415e-08,,,
4.0,4.0,10,190000,512,0.7582833701483118,0.0009697238300401256,,,
4.0,5.0,10,190000,512,0.7358788261281162,0.0005088894885034723,,,
4.5,3.0,10,190000,512,0.7374566109182707,0.0004450559100238616,,,
4.5,4.0,10,190000,512,0.5957715367623856,0.0003256739141792031,,,
4.5,5.0,10,190000,512,0.4597664878510571,0.0,,,
5.0,2.0,10,190000,512,0.4597664878510571,1.4988102758906052e-08,,,
5.0,5.0,10,190000,512,0.7393499526664563,0.00019479987201609372,,,
