lambda,seed,max_epochs,num_samples,input_dim,accuracy,fairness_metric,accuracy_lb,fairness_metric_lb,fairness_metric_ub
2.25,5.0,1000,190000,9,0.549,8.199822428811565e-05,,,
2.25,7.0,1000,190000,9,0.549,5.260055910805139e-05,,,
2.25,8.0,1000,190000,9,0.549,0.00012540123267718029,,,
2.25,9.0,1000,190000,9,0.549,0.00013121518967695867,,,
2.5,0.0,1000,190000,9,0.549,2.9920789276383086e-05,,,
2.5,1.0,1000,190000,9,0.549,0.00012005823864158494,,,
2.5,2.0,1000,190000,9,0.549,1.4141622291019562e-05,,,
2.5,3.0,1000,190000,9,0.549,2.7792197905662785e-05,,,
2.5,4.0,1000,190000,9,0.549,0.00017265926333825954,,,
2.5,5.0,1000,190000,9,0.549,6.676449732456735e-06,,,
2.5,7.0,1000,190000,9,0.549,0.00015750306880429887,,,
2.5,8.0,1000,190000,9,0.549,7.908322956456937e-05,,,
2.5,9.0,1000,190000,9,0.549,5.597675297469573e-05,,,
2.75,0.0,1000,190000,9,0.549,2.134299399791928e-05,,,
2.75,1.0,1000,190000,9,0.549,9.264683631937665e-06,,,
2.75,2.0,1000,190000,9,0.549,9.018848678615798e-05,,,
2.75,3.0,1000,190000,9,0.549,0.00014077187441929873,,,
2.75,4.0,1000,190000,9,0.549,0.00019434002074752987,,,
2.75,5.0,1000,190000,9,0.549,0.00011296788398834634,,,
2.75,7.0,1000,190000,9,0.549,0.00011897497132445922,,,
2.75,8.0,1000,190000,9,0.549,7.667921957665857e-05,,,
2.75,9.0,1000,190000,9,0.549,7.822836458792892e-05,,,
3.0,0.0,1000,190000,9,0.549,0.0002100463626027449,,,
3.0,1.0,1000,190000,9,0.549,7.128393635119634e-05,,,
3.0,2.0,1000,190000,9,0.549,9.945110497266985e-05,,,
3.0,3.0,1000,190000,9,0.549,0.00015935964114177636,,,
3.0,4.0,1000,190000,9,0.549,3.506917598739001e-05,,,
3.0,5.0,1000,190000,9,0.549,2.3630284515741007e-05,,,
3.0,7.0,1000,190000,9,0.549,9.329246705774841e-05,,,
3.0,8.0,1000,190000,9,0.549,3.4981384861965115e-05,,,
3.0,9.0,1000,190000,9,0.549,0.0002045798371648755,,,
3.25,7.0,1000,190000,9,0.549,0.00021479397165319325,,,
3.25,8.0,1000,190000,9,0.549,8.586435454016605e-05,,,
3.25,9.0,1000,190000,9,0.549,0.00012177262400364652,,,
3.5,0.0,1000,190000,9,0.549,3.522184383569771e-05,,,
3.5,1.0,1000,190000,9,0.549,1.9806232593455597e-05,,,
3.5,2.0,1000,190000,9,0.549,2.3647531453785398e-05,,,
3.5,3.0,1000,190000,9,0.549,0.00010087123458502045,,,
3.5,4.0,1000,190000,9,0.549,0.00014855463011187453,,,
3.5,5.0,1000,190000,9,0.549,0.00010891479766783618,,,
3.5,7.0,1000,190000,9,0.549,0.00011206662530910405,,,
3.5,8.0,1000,190000,9,0.549,3.1629327821525166e-05,,,
3.5,9.0,1000,190000,9,0.549,0.00018008835814881108,,,
3.75,3.0,1000,190000,9,0.549,2.9039530150265502e-05,,,
3.75,4.0,1000,190000,9,0.549,2.0051725065362014e-05,,,
3.75,5.0,1000,190000,9,0.549,4.0752946459443606e-05,,,
4.0,0.0,1000,190000,9,0.549,0.00012457767206208725,,,
4.0,1.0,1000,190000,9,0.549,3.397343851851975e-06,,,
4.0,2.0,1000,190000,9,0.549,4.2580987985929575e-05,,,
4.0,3.0,1000,190000,9,0.549,0.00011281083038616746,,,
4.0,4.0,1000,190000,9,0.549,9.514676549066126e-05,,,
4.0,5.0,1000,190000,9,0.549,7.813469885104007e-05,,,
4.0,7.0,1000,190000,9,0.549,9.253282735494084e-05,,,
4.0,8.0,1000,190000,9,0.549,9.651655129333525e-05,,,
4.0,9.0,1000,190000,9,0.549,8.21491646989525e-05,,,
4.25,0.0,1000,190000,9,0.549,7.205443573204962e-05,,,
4.25,1.0,1000,190000,9,0.549,8.775445504199952e-05,,,
4.25,2.0,1000,190000,9,0.549,0.0001128123950525084,,,
4.25,3.0,1000,190000,9,0.549,1.8943577686225677e-05,,,
4.25,4.0,1000,190000,9,0.549,5.807938745316932e-05,,,
4.25,5.0,1000,190000,9,0.549,0.0001584125460824537,,,
4.25,7.0,1000,190000,9,0.549,1.3179327547518938e-05,,,
4.25,8.0,1000,190000,9,0.549,0.00011108886802602136,,,
4.25,9.0,1000,190000,9,0.549,0.00014146598029068924,,,
4.5,0.0,1000,190000,9,0.549,1.377567949678582e-05,,,
4.5,1.0,1000,190000,9,0.549,2.5115772782302592e-05,,,
4.5,2.0,1000,190000,9,0.549,5.2763934062505236e-05,,,
4.5,3.0,1000,190000,9,0.549,4.598638056796389e-06,,,
4.5,4.0,1000,190000,9,0.549,9.028121347276485e-05,,,
4.5,5.0,1000,190000,9,0.549,3.720854239991356e-05,,,
4.75,3.0,1000,190000,9,0.549,9.62130376311876e-05,,,
4.75,4.0,1000,190000,9,0.549,4.936784567755037e-05,,,
4.75,5.0,1000,190000,9,0.549,4.2717031649264214e-05,,,
4.75,7.0,1000,190000,9,0.549,4.0120299117651914e-05,,,
4.75,8.0,1000,190000,9,0.549,5.71053752177475e-05,,,
4.75,9.0,1000,190000,9,0.549,1.1340143446947337e-05,,,
5.0,0.0,1000,190000,9,0.549,9.329154232184944e-06,,,
5.0,1.0,1000,190000,9,0.549,6.2516126828005e-05,,,
5.0,2.0,1000,190000,9,0.549,3.210207947851318e-05,,,
5.0,3.0,1000,190000,9,0.549,0.00010035142949244014,,,
5.0,4.0,1000,190000,9,0.549,2.5026155089480362e-05,,,
5.0,5.0,1000,190000,9,0.549,9.851379586273135e-05,,,
5.0,7.0,1000,190000,9,0.549,1.076391296511714e-05,,,
5.0,8.0,1000,190000,9,0.549,0.00011787094916998475,,,
5.0,9.0,1000,190000,9,0.549,1.2452740877300084e-05,,,
5.25,0.0,1000,190000,9,0.549,9.347860050284984e-05,,,
5.25,1.0,1000,190000,9,0.549,5.26974511007583e-05,,,
5.25,2.0,1000,190000,9,0.549,3.5913645860696786e-05,,,
5.25,7.0,1000,190000,9,0.549,2.0812278409554352e-06,,,
5.25,8.0,1000,190000,9,0.549,1.8600014458136638e-05,,,
5.25,9.0,1000,190000,9,0.549,1.867290710638736e-05,,,
5.5,0.0,1000,190000,9,0.549,2.2776522613066064e-05,,,
5.5,1.0,1000,190000,9,0.549,9.051949486638122e-07,,,
5.5,2.0,1000,190000,9,0.549,2.542741450239916e-05,,,
5.5,3.0,1000,190000,9,0.549,2.1627453897166138e-05,,,
5.5,4.0,1000,190000,9,0.549,0.00011461855761302209,,,
5.5,5.0,1000,190000,9,0.549,4.0207266960301524e-09,,,
5.5,7.0,1000,190000,9,0.549,9.186899744662025e-05,,,
5.5,8.0,1000,190000,9,0.549,0.0001058643284729266,,,
5.5,9.0,1000,190000,9,0.549,5.08982621100218e-06,,,
5.75,0.0,1000,190000,9,0.549,3.301353327161971e-05,,,
5.75,1.0,1000,190000,9,0.549,2.2880477702491575e-06,,,
5.75,2.0,1000,190000,9,0.549,7.110224090900452e-05,,,
5.75,3.0,1000,190000,9,0.549,2.034581780535616e-05,,,
5.75,4.0,1000,190000,9,0.549,2.5832525548608043e-05,,,
5.75,5.0,1000,190000,9,0.549,1.0663315230752257e-05,,,
5.75,7.0,1000,190000,9,0.549,1.4542870311884393e-06,,,
5.75,8.0,1000,190000,9,0.549,2.1277807956132655e-06,,,
5.75,9.0,1000,190000,9,0.549,2.0762965265097577e-05,,,
6.0,0.0,1000,190000,9,0.549,2.6841308293390487e-05,,,
6.0,1.0,1000,190000,9,0.549,8.012864177342482e-05,,,
6.0,2.0,1000,190000,9,0.549,1.6501642864930055e-05,,,
6.0,3.0,1000,190000,9,0.549,5.076310035739828e-05,,,
6.0,4.0,1000,190000,9,0.549,4.319434441640846e-05,,,
6.0,5.0,1000,190000,9,0.549,6.689199684623004e-05,,,
6.0,7.0,1000,190000,9,0.549,0.0001652557336121463,,,
6.0,8.0,1000,190000,9,0.549,4.4374487860709966e-05,,,
6.0,9.0,1000,190000,9,0.549,1.6445061623460155e-05,,,
6.25,0.0,1000,190000,9,0.549,2.4508830213432198e-05,,,
6.25,1.0,1000,190000,9,0.549,0.00011146016992030772,,,
6.25,2.0,1000,190000,9,0.549,4.1514229679240344e-05,,,
6.25,3.0,1000,190000,9,0.549,3.702517147102791e-05,,,
6.25,4.0,1000,190000,9,0.549,6.230237281362738e-05,,,
6.25,5.0,1000,190000,9,0.549,1.0077032663702301e-05,,,
6.25,7.0,1000,190000,9,0.549,4.2356579293245655e-05,,,
6.25,8.0,1000,190000,9,0.549,3.3307804469362434e-05,,,
6.25,9.0,1000,190000,9,0.549,5.6480249642831826e-05,,,
6.5,0.0,1000,190000,9,0.549,5.700671886765818e-06,,,
6.5,1.0,1000,190000,9,0.549,1.0478516281886563e-06,,,
6.5,2.0,1000,190000,9,0.549,1.6042841986196876e-05,,,
6.5,3.0,1000,190000,9,0.549,6.893423262765985e-07,,,
6.5,4.0,1000,190000,9,0.549,5.6736862500905705e-05,,,
6.5,5.0,1000,190000,9,0.549,1.0772988244811543e-06,,,
6.5,7.0,1000,190000,9,0.549,2.854108356170615e-05,,,
6.5,8.0,1000,190000,9,0.549,1.3149977990012385e-05,,,
6.5,9.0,1000,190000,9,0.549,1.3701956053824293e-05,,,
6.75,0.0,1000,190000,9,0.549,2.1935197818845342e-05,,,
