Acc,DP
0.8138287303794953,0.37604269246645305
0.7430955692429962,0.6151100968289951
0.812040532485595,0.4619709166271186
0.8297238227697199,0.41460845570313987
0.734154579773495,0.5442029976613428
0.778263461156368,0.5218373187445879
0.8251539837075303,0.4347900999914162
0.826544804291675,0.3552672519500838
0.8241605404331412,0.2378553036081023
0.7148817802503477,0.6951087848123286
0.7389231074905623,0.4897716232083957
0.799721835883171,0.48712329919898373
0.828531690840453,0.3257638021389415
0.8299225114245976,0.2915360841335133
0.8219749652294854,0.13804303960131092
0.7432942578978741,0.03215882897429734
0.7093184979137691,0.34615885286837467
0.717663421418637,0.4129986553358084
0.7544208225710312,0.35089950990591307
0.8424398966818994,0.19393955500252158
0.8368766143453209,0.1007801147044951
0.8400556328233658,0.02740488138072328
0.8225710311941188,0.16912378131821665
0.7335585138088615,0.24157239541769188
0.6987879992052454,0.32426835853179303
0.7315716272600834,0.35045455732854214
0.7985297039539042,0.20026547545052747
0.8491953109477449,0.018099616712896727
0.8376713689648321,0.07322516808534496
0.80707331611365,0.2131659039189655
