Acc,DP
0.7752831313332009,0.36330878083278667
0.7434929465527519,0.43236654722005796
0.8174051261672959,0.29479523170972743
0.8293264454599643,0.2778736902632314
0.7301808066759388,0.4685808656441911
0.7820385455990463,0.32052962009578323
0.828531690840453,0.27096060495935614
0.8283330021855752,0.2731674462621664
0.8217762765746076,0.10427400941761958
0.7144844029405921,0.5510472428771575
0.7379296642161732,0.37829693721076024
0.8078680707331611,0.34963024905805984
0.8323067752831314,0.27340689339230967
0.8307172660441089,0.226228314517235
0.8251539837075303,0.07362576631600544
0.7321676932247169,0.0816456718503017
0.7061394794357242,0.46352379908951125
0.7160739121796146,0.40528073722019853
0.7611762368368766,0.2994276249483685
0.8396582555136102,0.1796614220097975
0.8416451420623883,0.07720540883184435
0.8392608782038545,0.0374299403803578
0.8086628253526723,0.13548375804084667
0.7160739121796146,0.2347115276372228
0.6840850387442877,0.29826004130805356
0.7275978541625273,0.3388194707128171
0.8241605404331412,0.16539509116940715
0.8466123584343334,0.04461688341964235
0.8358831710709318,0.05366210780780324
0.8178025034770514,0.09041405839750187
