input_dim,Accuracy,Unfairness,lambda_reg,seed
12288,0.8991315789473684,0.0507701858699044,0.05,3
12288,0.896921052631579,0.044622732668497,0.0,3
12288,0.8956052631578947,0.0364709990195951,0.15,3
12288,0.8976052631578947,0.0429122358559539,0.1,3
12288,0.8954210526315789,0.0384168756759648,0.25,3
12288,0.8954473684210527,0.0400002891198636,0.2,3
12288,0.8973157894736842,0.0354998023668838,0.35,3
12288,0.8921842105263158,0.0594004264324501,0.3,3
12288,0.4798157894736842,0.0,0.45,3
12288,0.4798157894736842,0.0,0.4,3
12288,0.4798157894736842,0.0,0.5,3
