input_dim,Accuracy,Unfairness,lambda_reg,seed
12288,0.8991315789473684,0.026231741739064,0.05,3
12288,0.896921052631579,0.0240108600718396,0.0,3
12288,0.8956052631578947,0.0195756517688155,0.15,3
12288,0.8976052631578947,0.0217849604476511,0.1,3
12288,0.8954210526315789,0.0221545583712193,0.25,3
12288,0.8954473684210527,0.0203805822430357,0.2,3
12288,0.8973157894736842,0.0192253190868909,0.35,3
12288,0.8921842105263158,0.0300716924393096,0.3,3
12288,0.4798157894736842,0.0,0.45,3
12288,0.4798157894736842,0.0,0.4,3
12288,0.4798157894736842,0.0,0.5,3
